name,role,profession,family,p index,year
ARADâ‚‚-mu,,,,145526,68.0528
ARADâ‚‚-mu,['representative'],,,135072,68.0611
ARADâ‚‚-mu,['representative'],,,124902,68.0613
ARADâ‚‚-mu,['representative'],,,115511,68.0615
ARADâ‚‚-mu,['representative'],,,124903,68.0616
ARADâ‚‚-mu,['representative'],,,105862,68.0621
ARADâ‚‚-mu,['representative'],,,109591,68.07
ARADâ‚‚-mu,['representative'],,,105178,68.0701
ARADâ‚‚-mu,['representative'],,,200530,68.0721
ARADâ‚‚-mu,['representative'],,,104191,68.0805
ARADâ‚‚-mu,['representative'],,,105179,68.0806
ARADâ‚‚-mu,['representative'],,,124905,68.0811
ARADâ‚‚-mu,['representative'],,,135070,68.0814
ARADâ‚‚-mu,['representative'],,,103263,68.0825
ARADâ‚‚-mu,['representative'],,,211838,68.0826
ARADâ‚‚-mu,['representative'],,,124907,68.0827
ARADâ‚‚-mu,,,,115749,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,143924,68.09
ARADâ‚‚-mu,['representative'],,,211920,68.0912
ARADâ‚‚-mu,['representative'],,,212064,68.0916
ARADâ‚‚-mu,['representative'],,,124909,68.0924
ARADâ‚‚-mu,['representative'],,,136227,68.0925
ARADâ‚‚-mu,['representative'],,,134682,68.1007
ARADâ‚‚-mu,['representative'],,,103110,68.1009
ARADâ‚‚-mu,['representative'],,,212104,68.1013
ARADâ‚‚-mu,['representative'],,,416204,68.1111
ARADâ‚‚-mu,['representative'],,,133922,68.1115
ARADâ‚‚-mu,,maÅ¡kim[administrator],,123769,68.1119
ARADâ‚‚-mu,['representative'],,,100220,68.112
ARADâ‚‚-mu,['representative'],,,127420,68.113
ARADâ‚‚-mu,['representative'],,,134678,68.1202
ARADâ‚‚-mu,['representative'],,,123740,68.121
ARADâ‚‚-mu,['representative'],,,123863,68.1226
ARADâ‚‚-mu,['representative'],,,129469,69.0103
ARADâ‚‚-mu,['representative'],,,127306,69.0212
ARADâ‚‚-mu,['representative'],,,130381,69.0215
ARADâ‚‚-mu,['representative'],,,116173,69.0216
ARADâ‚‚-mu,['representative'],,,103858,69.0323
ARADâ‚‚-mu,['representative'],,,303655,69.0518
ARADâ‚‚-mu,['representative'],,,131597,69.06
ARADâ‚‚-mu,['representative'],,,106230,69.0608
ARADâ‚‚-mu,,,,103975,69.0712
ARADâ‚‚-mu,['representative'],,,124524,69.0717
ARADâ‚‚-mu,['representative'],,,124802,69.0901
ARADâ‚‚-mu,['representative'],,,123771,69.091
ARADâ‚‚-mu,['representative'],,,125487,69.0925
ARADâ‚‚-mu,['representative'],,,135084,69.1005
ARADâ‚‚-mu,['representative'],,,132062,69.101
ARADâ‚‚-mu,['representative'],,,126177,69.1017
ARADâ‚‚-mu,['representative'],,,124097,69.11
ARADâ‚‚-mu,['representative'],,,303757,69.1102
ARADâ‚‚-mu,['representative'],,,104788,69.1103
ARADâ‚‚-mu,['representative'],,,124095,69.1119
ARADâ‚‚-mu,['representative'],,,103917,69.1125
